id,neighbourhood_group,room_type,price
2539,Brooklyn,Private room,149
2595,Manhattan,Entire home/apt,225
3647,Manhattan,Private room,150
3831,Brooklyn,Entire home/apt,89
5022,Manhattan,Entire home/apt,80
5099,Manhattan,Entire home/apt,200
5121,Brooklyn,Private room,60
5178,Manhattan,Private room,79
5203,Manhattan,Private room,79
5238,Manhattan,Entire home/apt,150
5295,Manhattan,Entire home/apt,135
5441,Manhattan,Private room,85
5803,Brooklyn,Private room,89
6021,Manhattan,Private room,85
6090,Manhattan,Entire home/apt,120
6848,Brooklyn,Entire home/apt,140
7097,Brooklyn,Entire home/apt,215
7322,Manhattan,Private room,140
7726,Brooklyn,Entire home/apt,99
7750,Manhattan,Entire home/apt,190
7801,Brooklyn,Entire home/apt,299
8024,Brooklyn,Private room,130
8025,Brooklyn,Private room,80
8110,Brooklyn,Private room,110
8490,Brooklyn,Entire home/apt,120
8505,Brooklyn,Private room,60
8700,Manhattan,Private room,80
9357,Manhattan,Entire home/apt,150
9518,Manhattan,Private room,44
9657,Manhattan,Entire home/apt,180
9668,Manhattan,Private room,50
9704,Manhattan,Private room,52
9782,Brooklyn,Private room,55
9783,Manhattan,Private room,50
10452,Brooklyn,Private room,70
10962,Brooklyn,Private room,89
11452,Brooklyn,Private room,35
11708,Brooklyn,Entire home/apt,85
11943,Brooklyn,Private room,150
12048,Manhattan,Shared room,40
12192,Manhattan,Private room,68
12299,Brooklyn,Entire home/apt,120
12303,Brooklyn,Private room,120
12318,Manhattan,Private room,135
12343,Manhattan,Entire home/apt,150
12627,Brooklyn,Entire home/apt,150
12937,Queens,Private room,130
12940,Brooklyn,Entire home/apt,110
13050,Brooklyn,Entire home/apt,115
13394,Brooklyn,Private room,80
13808,Brooklyn,Private room,80
14287,Manhattan,Entire home/apt,151
14290,Brooklyn,Entire home/apt,228
14314,Brooklyn,Entire home/apt,144
14322,Manhattan,Entire home/apt,200
14377,Brooklyn,Entire home/apt,150
14991,Manhattan,Private room,110
15220,Manhattan,Private room,69
15338,Brooklyn,Private room,49
15341,Manhattan,Entire home/apt,180
15385,Brooklyn,Private room,80
15396,Manhattan,Entire home/apt,375
15711,Manhattan,Entire home/apt,250
16326,Brooklyn,Entire home/apt,200
16338,Brooklyn,Private room,55
16421,Manhattan,Private room,52
16458,Brooklyn,Entire home/apt,225
16580,Manhattan,Private room,80
16595,Brooklyn,Entire home/apt,275
16821,Manhattan,Private room,99
16974,Manhattan,Entire home/apt,225
17037,Manhattan,Entire home/apt,230
17092,Manhattan,Private room,51
17693,Manhattan,Private room,65
17747,Brooklyn,Private room,105
18127,Manhattan,Entire home/apt,190
18152,Manhattan,Private room,200
18198,Queens,Private room,70
18590,Brooklyn,Private room,95
18728,Manhattan,Private room,150
18764,Brooklyn,Private room,145
19159,Manhattan,Entire home/apt,110
19169,Manhattan,Entire home/apt,285
19282,Brooklyn,Entire home/apt,130
19319,Manhattan,Private room,94
19601,Brooklyn,Entire home/apt,800
19812,Brooklyn,Entire home/apt,105
20299,Manhattan,Private room,60
20300,Manhattan,Private room,50
20611,Brooklyn,Private room,85
20724,Brooklyn,Private room,65
20734,Brooklyn,Entire home/apt,131
20755,Brooklyn,Private room,98
20853,Brooklyn,Entire home/apt,250
20913,Brooklyn,Entire home/apt,100
21293,Brooklyn,Entire home/apt,105
21456,Manhattan,Entire home/apt,140
21644,Manhattan,Private room,89
21794,Manhattan,Private room,98
22911,Brooklyn,Entire home/apt,125
22918,Manhattan,Private room,60
23135,Brooklyn,Entire home/apt,175
23501,Manhattan,Private room,65
23686,Manhattan,Entire home/apt,500
24143,Brooklyn,Private room,101
24285,Brooklyn,Entire home/apt,220
25235,Brooklyn,Entire home/apt,125
25406,Brooklyn,Entire home/apt,80
25696,Manhattan,Private room,100
26012,Brooklyn,Entire home/apt,200
26362,Manhattan,Private room,59
26520,Brooklyn,Private room,125
26559,Manhattan,Entire home/apt,140
26785,Brooklyn,Entire home/apt,120
26933,Manhattan,Entire home/apt,350
26954,Manhattan,Entire home/apt,199
26969,Brooklyn,Entire home/apt,325
27006,Manhattan,Entire home/apt,235
27385,Manhattan,Entire home/apt,225
27531,Brooklyn,Private room,99
27644,Manhattan,Entire home/apt,170
27659,Brooklyn,Entire home/apt,400
27759,Manhattan,Entire home/apt,170
27883,Manhattan,Entire home/apt,100
28321,Brooklyn,Private room,75
28396,Brooklyn,Private room,90
28907,Manhattan,Entire home/apt,150
29012,Manhattan,Private room,85
29013,Brooklyn,Private room,70
29455,Manhattan,Entire home/apt,120
29628,Brooklyn,Private room,89
29683,Manhattan,Entire home/apt,185
30031,Brooklyn,Private room,50
30927,Manhattan,Entire home/apt,105
31130,Manhattan,Private room,130
31555,Manhattan,Entire home/apt,115
31902,Brooklyn,Private room,77
31994,Brooklyn,Private room,76
32023,Brooklyn,Entire home/apt,125
32037,Brooklyn,Private room,135
32100,Brooklyn,Entire home/apt,250
32289,Brooklyn,Entire home/apt,199
32331,Brooklyn,Entire home/apt,140
32363,Queens,Private room,140
32965,Brooklyn,Entire home/apt,115
32969,Brooklyn,Entire home/apt,160
33009,Brooklyn,Entire home/apt,195
33014,Manhattan,Entire home/apt,195
33223,Brooklyn,Private room,80
34760,Brooklyn,Private room,44
35526,Manhattan,Private room,156
36121,Brooklyn,Private room,85
36133,Brooklyn,Private room,125
36442,Brooklyn,Entire home/apt,115
36647,Manhattan,Private room,69
36703,Manhattan,Entire home/apt,225
36934,Brooklyn,Entire home/apt,125
38638,Manhattan,Entire home/apt,219
38663,Brooklyn,Entire home/apt,475
39267,Manhattan,Entire home/apt,99
39282,Brooklyn,Private room,69
39593,Queens,Private room,79
39704,Brooklyn,Entire home/apt,135
40039,Brooklyn,Private room,250
40453,Manhattan,Entire home/apt,250
41348,Brooklyn,Entire home/apt,250
41513,Manhattan,Entire home/apt,80
42580,Brooklyn,Private room,70
42729,Brooklyn,Entire home/apt,165
42882,Staten Island,Private room,70
43957,Brooklyn,Private room,50
44096,Bronx,Private room,40
44161,Brooklyn,Entire home/apt,150
44212,Manhattan,Private room,125
44221,Manhattan,Entire home/apt,196
44229,Brooklyn,Private room,110
44288,Manhattan,Entire home/apt,170
44506,Manhattan,Entire home/apt,165
45393,Manhattan,Entire home/apt,150
45542,Manhattan,Entire home/apt,100
45556,Brooklyn,Private room,65
45910,Queens,Entire home/apt,350
45936,Manhattan,Private room,99
45940,Brooklyn,Entire home/apt,200
46544,Brooklyn,Entire home/apt,150
46723,Brooklyn,Private room,90
46911,Brooklyn,Private room,120
47199,Manhattan,Private room,75
47362,Brooklyn,Entire home/apt,175
47370,Manhattan,Entire home/apt,125
47926,Manhattan,Entire home/apt,275
48719,Manhattan,Entire home/apt,299
50447,Brooklyn,Entire home/apt,135
51438,Manhattan,Private room,130
51485,Manhattan,Private room,83
51572,Manhattan,Private room,123
51850,Queens,Private room,55
53137,Manhattan,Entire home/apt,195
53196,Brooklyn,Private room,80
53469,Queens,Entire home/apt,98
53470,Queens,Private room,140
53477,Queens,Entire home/apt,265
54158,Brooklyn,Entire home/apt,249
54453,Manhattan,Shared room,105
54466,Manhattan,Private room,200
54508,Brooklyn,Private room,100
54544,Manhattan,Entire home/apt,121
54626,Bronx,Private room,45
54860,Manhattan,Private room,100
55467,Brooklyn,Entire home/apt,140
55498,Brooklyn,Private room,71
55668,Manhattan,Private room,130
55737,Manhattan,Entire home/apt,199
55959,Brooklyn,Private room,69
55982,Brooklyn,Private room,68
56467,Manhattan,Entire home/apt,130
56525,Brooklyn,Entire home/apt,195
56859,Manhattan,Private room,64
57166,Queens,Entire home/apt,140
57297,Brooklyn,Entire home/apt,159
57468,Manhattan,Entire home/apt,189
57618,Manhattan,Entire home/apt,250
57740,Manhattan,Entire home/apt,239
57754,Manhattan,Entire home/apt,305
57874,Manhattan,Entire home/apt,155
58059,Manhattan,Private room,60
58062,Brooklyn,Private room,135
58467,Manhattan,Private room,120
59014,Manhattan,Entire home/apt,150
59121,Queens,Entire home/apt,140
59642,Brooklyn,Entire home/apt,135
59709,Manhattan,Entire home/apt,250
59855,Manhattan,Entire home/apt,250
60164,Manhattan,Entire home/apt,500
60457,Manhattan,Entire home/apt,225
60611,Manhattan,Entire home/apt,125
60666,Manhattan,Private room,92
60673,Manhattan,Private room,175
60680,Manhattan,Entire home/apt,99
60794,Manhattan,Entire home/apt,195
60948,Manhattan,Entire home/apt,140
61167,Manhattan,Entire home/apt,135
61224,Manhattan,Entire home/apt,500
61406,Manhattan,Private room,80
61492,Manhattan,Private room,120
61509,Manhattan,Entire home/apt,110
62095,Brooklyn,Entire home/apt,65
62427,Manhattan,Entire home/apt,130
62430,Brooklyn,Entire home/apt,99
62452,Staten Island,Private room,36
62461,Staten Island,Private room,37
62787,Staten Island,Private room,37
62891,Manhattan,Entire home/apt,175
62903,Manhattan,Entire home/apt,205
62925,Brooklyn,Entire home/apt,285
63299,Brooklyn,Private room,59
63320,Staten Island,Private room,36
63360,Queens,Entire home/apt,99
63546,Brooklyn,Private room,39
63573,Brooklyn,Private room,60
63588,Bronx,Private room,90
63610,Bronx,Entire home/apt,105
63657,Brooklyn,Entire home/apt,135
63693,Manhattan,Entire home/apt,390
63719,Brooklyn,Private room,70
63913,Manhattan,Private room,75
64000,Brooklyn,Private room,60
64015,Manhattan,Entire home/apt,200
64107,Brooklyn,Private room,100
64277,Brooklyn,Private room,70
64314,Brooklyn,Private room,110
64365,Brooklyn,Private room,60
64707,Manhattan,Entire home/apt,90
64837,Manhattan,Private room,68
65019,Manhattan,Entire home/apt,115
65268,Brooklyn,Private room,75
65556,Brooklyn,Private room,60
65562,Manhattan,Entire home/apt,129
65615,Brooklyn,Entire home/apt,130
65660,Brooklyn,Entire home/apt,95
65813,Manhattan,Private room,75
65834,Brooklyn,Entire home/apt,175
66008,Brooklyn,Entire home/apt,190
66026,Brooklyn,Private room,49
66251,Manhattan,Entire home/apt,212
66275,Manhattan,Private room,95
66451,Brooklyn,Entire home/apt,140
66718,Manhattan,Entire home/apt,135
66741,Brooklyn,Entire home/apt,150
66974,Brooklyn,Entire home/apt,190
67288,Manhattan,Entire home/apt,124
67299,Brooklyn,Entire home/apt,135
67397,Manhattan,Private room,122
68099,Manhattan,Private room,109
68305,Manhattan,Private room,85
68403,Brooklyn,Entire home/apt,145
68735,Manhattan,Entire home/apt,195
68765,Brooklyn,Entire home/apt,250
68900,Brooklyn,Private room,125
68974,Manhattan,Entire home/apt,575
69894,Manhattan,Entire home/apt,150
69921,Brooklyn,Private room,70
70095,Manhattan,Private room,90
70128,Manhattan,Private room,65
70609,Manhattan,Entire home/apt,500
71010,Manhattan,Entire home/apt,250
71248,Manhattan,Entire home/apt,125
71366,Manhattan,Entire home/apt,200
71384,Brooklyn,Entire home/apt,229
71812,Bronx,Entire home/apt,90
72190,Manhattan,Entire home/apt,110
72265,Brooklyn,Private room,59
74073,Brooklyn,Entire home/apt,195
74240,Brooklyn,Entire home/apt,169
74333,Manhattan,Entire home/apt,113
74404,Manhattan,Entire home/apt,250
74680,Queens,Entire home/apt,115
74860,Brooklyn,Private room,55
75193,Brooklyn,Private room,69
75635,Manhattan,Entire home/apt,150
76761,Brooklyn,Entire home/apt,169
77765,Brooklyn,Private room,179
